wix_id_pack,pack_nombre,dux_codigo,dux_producto,cantidad
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,084,ENSALADA - BANDEJA,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,054,CEBOLLA - KG,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,061,CHAMPINONES - BANDEJA,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0158,MORRON ROJO - KG,0.2
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0176,PALTA - UNIDAD,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0180,PAPA LAVADA - KG,2.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0223,RUCULA - ATADO,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0233,TOMATE REDONDO - KG,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0244,ZANAHORIA - KG,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0229,TOMATE CHERRY - KG,0.5
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,032,BANANA - KG,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,091,FRUTILLAS - KG,0.5
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0132,MANDARINA - KG,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0137,MANZANA ROJA - KG,0.8
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0239,UVAS NEGRAS - KG,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0164,NARANJA JUGO - KG,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,0192,PERA - KG,0.2
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,002,ACELGA - ATADO,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,024,ANCO - UNIDAD,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0242,VERDURAS SOPA - BANDEJA,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,034,BATATA - KG,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,054,CEBOLLA - KG,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,067,CHOCLO - UNIDAD,2.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0158,MORRON ROJO - KG,0.2
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0180,PAPA LAVADA - KG,2.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0233,TOMATE REDONDO - KG,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0244,ZANAHORIA - KG,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,032,BANANA - KG,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0192,PERA - KG,0.6
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0132,MANDARINA - KG,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0137,MANZANA ROJA - KG,0.8
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0164,NARANJA JUGO - KG,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,0239,UVAS NEGRAS - KG,1.0
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,032,BANANA - KG,1.0
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,0132,MANDARINA - KG,1.0
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,0239,UVAS NEGRAS - KG,1.0
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,0137,MANZANA ROJA - KG,0.6
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,091,FRUTILLAS - KG,0.5
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,0164,NARANJA JUGO - KG,0.8
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,0192,PERA - KG,0.6
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,020,ANANA - UNIDAD,1.0
