codigo,producto,unidad_medida,cantidad
003,ACELGA - CAJA,CAJA,5.0
010,AJO - CABEZA,CABEZA,24.0
0103,HUEVOS - MAPLE,MAPLE,3.0
0107,KALE - ATADO,ATADO,2.0
0109,KIWI - KG,KG,5.0
0114,LECHUGA CRIOLLA - KG,KG,6.5
0116,LECHUGA FRANCESA - KG,KG,1.0
0127,LIMA - KG,KG,4.0
0129,LIMON - KG,KG,23.0
0132,MANDARINA - KG,KG,22.0
0133,MANDIOCA - KG,KG,5.0
0136,MANZANA ROJA - CAJA,CAJA,2.0
0137,MANZANA ROJA - KG,KG,8.0
0139,MANZANA ROJA PREMIUM - KG,KG,5.0
014,ALBAHACA - ATADO,ATADO,6.0
0140,MANZANA VERDE - CAJA,CAJA,3.0
0143,MANZANA VERDE PREMIUM - KG,KG,7.0
0146,MELON - KG,KG,10.0
0149,MENTA - ATADO,ATADO,1.0
0154,MORRON AMARILLO - KG,KG,1.0
0156,MORRON MIX - KG,KG,3.0
0158,MORRON ROJO - KG,KG,19.0
0160,MORRON VERDE - KG,KG,10.0
0163,NARANJA JUGO - CAJA,CAJA,2.0
0164,NARANJA JUGO - KG,KG,11.0
0172,PAK CHOI - CAJA,CAJA,1.0
0175,PALTA - KG,KG,1.5
0176,PALTA - UNIDAD,UNIDAD,3.0
0177,PAPA CEPILLADA - BOLSA,BOLSA,5.0
0179,PAPA LAVADA - BOLSA,BOLSA,4.0
0180,PAPA LAVADA - KG,KG,46.0
0181,PAPA NEGRA - BOLSA,BOLSA,2.0
019,ANANA - KG,KG,13.0
0190,PEPINO - KG,KG,4.0
0191,PERA - CAJA,CAJA,1.0
0192,PERA - KG,KG,5.0
0194,PERA PREMIUM - KG,KG,8.0
0195,PEREJIL - ATADO,ATADO,3.0
0196,PERIFOLIO - ATADO,ATADO,2.0
0204,POMELO - KG,KG,4.0
0207,PUERRO - ATADO,ATADO,9.0
0209,RABANITO - ATADO,ATADO,6.0
021,ANCO - BOLSA,BOLSA,5.0
0215,REPOLLITOS DE BRUSELAS - BANDEJA,BANDEJA,2.0
0222,ROMERO - ATADO,ATADO,3.0
0223,RUCULA - ATADO,ATADO,3.0
0224,RUCULA - CAJA,CAJA,1.0
0225,SALVIA - ATADO,ATADO,1.0
0229,TOMATE CHERRY - KG,KG,3.0
023,ANCO - KG,KG,15.0
0231,TOMATE PERITA - KG,KG,10.0
0232,TOMATE REDONDO - CAJA,CAJA,6.0
0233,TOMATE REDONDO - KG,KG,11.0
0237,TOMILLO - ATADO,ATADO,2.0
0238,UVAS BLANCAS - KG,KG,3.0
0239,UVAS NEGRAS - KG,KG,3.0
024,ANCO - UNIDAD,UNIDAD,5.0
0241,VERDEO - ATADO,ATADO,7.0
0243,ZANAHORIA - BOLSA,BOLSA,2.0
0244,ZANAHORIA - KG,KG,9.0
0245,ZAPALLITO - CAJA,CAJA,2.5
0246,ZAPALLITO - KG,KG,10.0
0248,ZUCCHINI - KG,KG,16.0
0249,REMOLACHA - KG,KG,8.0
0258,FLORES JAMAICA - BANDEJA,BANDEJA,1.0
026,APIO - PLANTA,PLANTA,10.0
027,ARANDANO - CUBETA,CUBETA,2.0
031,BANANA - CAJA,CAJA,2.0
032,BANANA - KG,KG,54.0
034,BATATA - KG,KG,33.0
036,BERENJENA - KG,KG,5.0
039,BONIATO - KG,KG,5.0
041,BROCOLI - KG,KG,3.0
042,BROCOLI - UNIDAD,UNIDAD,4.0
053,CEBOLLA - BOLSA,BOLSA,2.0
054,CEBOLLA - KG,KG,1.0
056,CEBOLLA MORADA - KG,KG,3.0
057,CEBOLLON - BOLSA,BOLSA,7.0
058,CEBOLLON - KG,KG,37.0
062,CHAMPINONES - KG,KG,3.0
064,CHAUCHA - KG,KG,15.0
068,CIBOULETTE - ATADO,ATADO,5.0
069,CILANTRO - ATADO,ATADO,1.0
071,CIRUELA - KG,KG,5.0
074,COLIFLOR - KG,KG,6.0
083,ENELDO - ATADO,ATADO,2.0
090,FRUTILLAS - CAJA,CAJA,16.0
091,FRUTILLAS - KG,KG,5.5
